latitude,longitude,price,beds,baths,sq_feet,cats,dogs,nearestSchool,nearestPolice,restaurantCount,cemeteryCount,healthCareCount,communityCentreCount,placeOfWorshipCount,leisureCount,shopCount,tourismCount,lease_term_12 months,lease_term_6 months,lease_term_Long Term,lease_term_Negotiable,lease_term_Short Term,lease_term_months,furnishing_Furnished,furnishing_Negotiable,furnishing_Unfurnished,"furnishing_Unfurnished, Negotiable",type_Apartment,type_Basement,type_Condo Unit,type_Duplex,type_House,type_Loft,type_Main Floor,type_Mobile,type_Room For Rent,type_Townhouse,type_Vacation Home,smoking_Negotiable,smoking_Non-Smoking,smoking_Smoke Free Building,smoking_Smoking Allowed,latitude_standardized,longitude_standardized,beds_standardized,baths_standardized,sq_feet_standardized,nearestSchool_standardized,nearestPolice_standardized,restaurantCount_standardized,cemeteryCount_standardized,healthCareCount_standardized,placeOfWorshipCount_standardized,leisureCount_standardized,shopCount_standardized,tourismCount_standardized
51.3059622,-114.012515,>=2000,2,2.5,1403,1,1,0.3334391948620607,16.725785017916852,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.4969120243667081,-0.3219419562642377,0.011428663462756623,1.2320758331697816,0.6957462887273327,-0.6954800779218597,0.5042729585939913,-0.6752116559114341,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.08684334617408415,-0.7502032381006152,-0.5675575997629827
51.3059622,-114.012515,>=2000,3,2.5,1496,1,1,0.3334391948620607,16.725785017916852,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.4969120243667081,-0.3219419562642377,0.989692571034557,1.2320758331697816,0.8601277143655012,-0.6954800779218597,0.5042729585939913,-0.6752116559114341,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.08684334617408415,-0.7502032381006152,-0.5675575997629827
51.3059622,-114.012515,>=2000,2,2.5,1180,1,1,0.3334391948620607,16.725785017916852,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.4969120243667081,-0.3219419562642377,0.011428663462756623,1.2320758331697816,0.301584375637961,-0.6954800779218597,0.5042729585939913,-0.6752116559114341,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.08684334617408415,-0.7502032381006152,-0.5675575997629827
51.3059622,-114.012515,>=2000,2,2.5,1403,1,1,0.3334391948620607,16.725785017916852,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.4969120243667081,-0.3219419562642377,0.011428663462756623,1.2320758331697816,0.6957462887273327,-0.6954800779218597,0.5042729585939913,-0.6752116559114341,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.08684334617408415,-0.7502032381006152,-0.5675575997629827
51.3059622,-114.012515,>=2000,2,2.5,1351,1,1,0.3334391948620607,16.725785017916852,2,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-0.4969120243667081,-0.3219419562642377,0.011428663462756623,1.2320758331697816,0.6038340937468514,-0.6954800779218597,0.5042729585939913,-0.6752116559114341,-0.012317550292698928,-0.9663817214287386,-0.7396472884231193,-0.08684334617408415,-0.7502032381006152,-0.5675575997629827
51.2717246,-114.0201348,>=2000,0,1.0,361,1,1,3.573692938145568,12.906775585042816,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5230748467577443,-0.33363765878418655,-1.945099151680844,-0.7585954733562923,-1.1460326953046196,-0.013618017748664214,0.27086426976494893,-0.6941208643486356,-0.012317550292698928,-1.075621125375723,-0.7396472884231193,-0.710695656401211,-0.5586588941707124,-0.3574490769569942
51.2717246,-114.0201348,>=2000,1,1.0,525,1,1,3.573692938145568,12.906775585042816,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5230748467577443,-0.33363765878418655,-0.9668352441090436,-0.7585954733562923,-0.8561557726738708,-0.013618017748664214,0.27086426976494893,-0.6941208643486356,-0.012317550292698928,-1.075621125375723,-0.7396472884231193,-0.710695656401211,-0.5586588941707124,-0.3574490769569942
51.2717246,-114.0201348,>=2000,2,1.0,810,1,1,3.573692938145568,12.906775585042816,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5230748467577443,-0.33363765878418655,0.011428663462756623,-0.7585954733562923,-0.3524062424923867,-0.013618017748664214,0.27086426976494893,-0.6941208643486356,-0.012317550292698928,-1.075621125375723,-0.7396472884231193,-0.710695656401211,-0.5586588941707124,-0.3574490769569942
51.2717246,-114.0201348,<2000,0,1.0,265,1,1,3.573692938145568,12.906775585042816,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.5230748467577443,-0.33363765878418655,-1.945099151680844,-0.7585954733562923,-1.3157167475762772,-0.013618017748664214,0.27086426976494893,-0.6941208643486356,-0.012317550292698928,-1.075621125375723,-0.7396472884231193,-0.710695656401211,-0.5586588941707124,-0.3574490769569942
51.2852509,-114.0101276,<2000,2,1.0,997,0,0,2.0046624095888927,14.543925476776288,10,0,3,0,0,3,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.5127386612626195,-0.3182775136022258,0.011428663462756623,-0.7585954733562923,-0.02187584900488669,-0.34379660048896177,0.37092294109390295,-0.5995748221626278,-0.012317550292698928,-0.7479029135347699,-0.7396472884231193,-0.39876950128764754,-0.6225070088140132,-0.3574490769569942
