rentfaster_id,city,province,address,latitude,longitude,lease_term,type,price,beds,baths,sq_feet,link,furnishing,availability_date,smoking,cats,dogs,nearestSchool,nearestPolice,restaurantCount,cemeteryCount,healthCareCount,communityCentreCount,placeOfWorshipCount,leisureCount,shopCount,tourismCount
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495.0,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2695.0,3 Beds,2.5,1496,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2295.0,2 Beds,2.5,1180,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2095.0,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,November 18,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495.0,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2095.0,2 Beds,2.5,1403,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,November 18,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
468622,Airdrie,Alberta,69 Gateway Dr NE,51.3059622,-114.012515,Long Term,Townhouse,2495.0,2 Beds,2.5,1351,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/468622,Unfurnished,Immediate,Non-Smoking,True,True,0.33343919486206075,16.725785017916852,2,0,1,0,0,5,0,0
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,2390.0,Studio,1,361 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True,3.573692938145568,12.906775585042817,0,0,0,0,0,1,3,1
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,3615.0,1 Bed,1,525 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True,3.573692938145568,12.906775585042817,0,0,0,0,0,1,3,1
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,4520.0,2 Beds,1,810 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True,3.573692938145568,12.906775585042817,0,0,0,0,0,1,3,1
92670,Airdrie,Alberta,2014 Luxstone Blvd SW,51.2717246,-114.0201348,Negotiable,Apartment,1930.0,Studio,1,265 Sq. Ft.,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/92670,Unfurnished,Immediate,Non-Smoking,True,True,3.573692938145568,12.906775585042817,0,0,0,0,0,1,3,1
565052,Airdrie,Alberta,70 Elk Hill Southeast,51.2852509,-114.0101276,Long Term,Main Floor,1700.0,2 Beds,1,997,/ab/airdrie/rentals/main-floor/2-bedrooms/non-smoking/565052,Unfurnished,Immediate,Non-Smoking,False,False,2.0046624095888927,14.543925476776288,10,0,3,0,0,3,2,1
569191,Airdrie,Alberta,72 Silver Springs Way Northwest,51.3045767,-114.0216833,Long Term,House,2550.0,3 Beds,2.5,,/ab/airdrie/rentals/house/3-bedrooms/pet-friendly/569191,Unfurnished,Immediate,Non-Smoking,False,True,0.7992909346299377,16.436186955808388,3,0,2,0,0,5,0,0
571402,Airdrie,Alberta,130 Sandstone Crescent Southeast,51.276103,-114.0038583,Long Term,House,3150.0,5 Beds,2,,/ab/airdrie/rentals/house/5-bedrooms/pet-friendly/571402,Unfurnished,Immediate,Non-Smoking,True,False,3.055576829297912,13.709609343671527,2,0,1,0,0,1,3,1
572441,Airdrie,Alberta,712 Midtown Drive Southwest,51.2807159,-114.0244446,Long Term,House,3195.0,3 Beds,2.5,,/ab/airdrie/rentals/house/3-bedrooms/non-smoking/572441,Unfurnished,Immediate,Non-Smoking,False,False,2.6928725525788746,13.802859581072175,6,0,3,0,0,3,2,1
568480,Airdrie,Alberta,Cobblefield Mnr SW,51.2631292,-114.0411654,Long Term,Basement,1500.0,2 Beds,1,900,/ab/airdrie/rentals/basement/2-bedrooms/non-smoking/568480,Unfurnished,Immediate,Non-Smoking,False,False,4.951448846179062,11.656111926496614,2,0,3,0,0,1,1,0
571970,Airdrie,Alberta,629 Hillcrest Road Southwest,51.2519353,-114.0137782,Long Term,Townhouse,2300.0,3 Beds,2.5,1600,/ab/airdrie/rentals/townhouse/3-bedrooms/pet-friendly/571970,Unfurnished,Immediate,Non-Smoking,True,True,5.714020806911844,10.948089799380462,2,0,3,0,0,1,1,0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2000.0,1 Bed,1,602,/ab/airdrie/rentals/apartment/1-bedroom/non-smoking/111264,Unfurnished,Immediate,Smoke Free Building,False,False,3.9500776676504405,12.56166119373043,1,0,1,0,0,2,3,0
111264,Airdrie,Alberta,100 Chinook Winds Pl SW,51.270215,-114.031145,Long Term,Apartment,2225.0,2 Beds,2,886,/ab/airdrie/rentals/apartment/1-bedroom/non-smoking/111264,Unfurnished,Immediate,Smoke Free Building,False,False,3.9500776676504405,12.56166119373043,1,0,1,0,0,2,3,0
565874,Airdrie,Alberta,140 Sagewood Boulevard Southwest,51.291531,-114.0420409,Short Term,Townhouse,2300.0,3 Beds,1.5,1086,/ab/airdrie/rentals/townhouse/3-bedrooms/pet-friendly/565874,Unfurnished,Immediate,Non-Smoking,True,True,2.560027819114938,14.771465074357486,1,0,2,0,0,2,0,0
518913,Airdrie,Alberta,502 Windbury Place,51.2496714,-114.0309421,12 months,Townhouse,2099.0,2 Beds,2.5,1265,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/518913,Unfurnished,Immediate,Non-Smoking,True,True,6.130130077159845,10.343304467227707,2,0,3,0,0,1,1,0
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1680.0,1 Bed,1,667,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,Immediate,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1685.0,1 Bed,1,669,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,Immediate,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1645.0,1 Bed,1,680,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1910.0,2 Beds,2,939,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,2145.0,2 Beds,2,1056,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1950.0,2 Beds,2,983,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1960.0,2 Beds,2,984,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,Immediate,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
453884,Airdrie,Alberta,104 MacKenzie Way SW,51.289386,-114.0213568,Long Term,Apartment,1720.0,1 Bed,1,650,/ab/airdrie/rentals/apartment/1-bedroom/pet-friendly/453884,Unfurnished,July 01,Non-Smoking,True,True,1.7231998703800788,14.790527157457284,11,0,3,0,0,3,2,1
564482,Airdrie,Alberta,1930 Luxstone Park Southwest,51.2746543,-114.0191365,Long Term,House,3500.0,5 Beds,3.5,2700,/ab/airdrie/rentals/house/5-bedrooms/pet-friendly/564482,Unfurnished,Immediate,Non-Smoking,False,True,3.2406715698847988,13.239326481310295,0,0,0,0,0,1,3,1
565356,Airdrie,Alberta,Windbury Pl SW,51.2496146,-114.030942,Long Term,Townhouse,2400.0,3 Beds,2.5,1341,/ab/airdrie/rentals/townhouse/3-bedrooms/non-smoking/565356,Unfurnished,Immediate,Non-Smoking,False,False,6.136270299722042,10.33720266579026,2,0,3,0,0,1,1,0
566068,Airdrie,Alberta,SouthPoint Heath SW,51.251492859256,-114.012470104229,Long Term,Townhouse,2400.0,2 Beds,2.5,1470,/ab/airdrie/rentals/townhouse/2-bedrooms/pet-friendly/566068,Unfurnished,Immediate,Non-Smoking,True,False,5.760155960597617,10.9345839497149,2,0,3,0,0,1,1,0
132303,Airdrie,Alberta,104 Cooperstown Place,51.2615974,-114.0243117,Long Term,Basement,1250.0,1 Bed,1,,/ab/airdrie/rentals/basement/1-bedroom/furnished/132303,Furnished,Immediate,Non-Smoking,False,False,4.7350168893788,11.743932106674901,2,0,3,0,0,1,1,0
570898,Airdrie,Alberta,,51.27774,-114.0410613,Long Term,Basement,1700.0,2 Beds,1,757,/ab/airdrie/rentals/basement/2-bedrooms/non-smoking/570898,Unfurnished,Immediate,Non-Smoking,False,False,3.5521459036822587,13.261808641906388,0,0,0,0,0,1,2,0
571860,Airdrie,Alberta,85 Midtown Close Southwest,51.28487,-114.01983,Long Term,House,2600.0,3 Beds,2.5,,/ab/airdrie/rentals/house/3-bedrooms/pet-friendly/571860,Unfurnished,Immediate,Non-Smoking,True,True,2.1499349367297627,14.326756911074355,6,0,3,0,0,3,2,1
564822,Airdrie,Alberta,,51.2910811,-114.0512376,Long Term,Main Floor,2675.0,3 Beds,2.5,1575,/ab/airdrie/rentals/main-floor/3-bedrooms/non-smoking/564822,Unfurnished,Immediate,Non-Smoking,False,False,3.1482546423826245,14.653766693259326,0,0,0,0,0,0,0,0
569541,Airdrie,Alberta,,51.2577473,-113.9910635,Long Term,Duplex,2700.0,3 Beds,2.5,1488,/ab/airdrie/rentals/duplex/3-bedrooms/non-smoking/569541,Unfurnished,Immediate,Non-Smoking,False,False,5.237988056684683,12.174325771207174,1,0,1,0,0,1,0,0
563675,Airdrie,Alberta,171 Baneberry Way SW,51.2920342,-114.0502138,12 months,House,2800.0,3 Beds,2.5,2100,/ab/airdrie/rentals/house/3-bedrooms/non-smoking/563675,Unfurnished,Immediate,Non-Smoking,False,False,3.039027445580231,14.765533676231643,0,0,0,0,0,0,0,0
