source,tourism,amenity,historic,historic_1,name,wikidata,wikipedia,aerialway,public_transport,leisure,internet_access,brand,brand:wikidata,cuisine,official_name,takeaway,website,shop,source:name,waterway,bus,highway,operator,ele,access,addr:city,addr:housenumber,addr:postcode,addr:street,brand:wikipedia,opening_hours,operator:website,operator:wikidata,operator:wikipedia,created_by,changing_table,changing_table:count,changing_table:location,internet_access:fee,level,outdoor_seating,phone,toilets,toilets:access,url,wheelchair,alt_name,name:en,healthcare,religion,building,hot_tub,sport,atm,denomination,addr:province,museum,drive_through,branch,website:en,website:fr,addr:country,addr:state,check_date,fixme,capacity,operator:type,parking,fee,operator:short,covered,dispensing,addr:unit,description,fax,contact:facebook,email,addr:suite,clothes,healthcare:speciality,addr:building,check_date:opening_hours,min_age,reservation,light_rail,network,railway,stop,contact:instagram,contact:linkedin,contact:twitter,contact:youtube,website:menu,was:brand,was:name,was:shop,bench,bin,kerb,kerb:approach_aid,lit,network:wikidata,passenger_information_display,ref,route_ref,shelter,tactile_paving,payment:apple_pay,payment:cash,payment:credit_cards,payment:debit_cards,payment:google_pay,maxheight,departures_board,heating,network:wikipedia,network:wikipedia:fr,store_name,diet:gluten_free,payment:mastercard,payment:visa,name:zh-Hans,name:zh-Hant,capacity:disabled,surface,bus_routes,name:zh,payment:cirrus,payment:interac,payment:plus,drive_through_atm,toilets:wheelchair,direction,check_date:bench,direction_south,contact:website,air_conditioning,level:ref,delivery,note,layer,short_name,smoking,direction_north,local_ref,old_name,payment:american_express,indoor_seating,start_date,theatre:type,brand:en,brand:fr,name:fr,check_date:currency:XBT,check_date:internet_access,second_hand,diet:halal,diet:vegetarian,diet:vegan,rice_noodle,wheelchair:description,internet_access:ssid,addr:housename,name:ko,building:levels,delivery:partner,noexit,contact:yelp,wifi,diet:meat,payment:e-transfer,self_service,brewery,official_name:en,official_name:fr,tram,health_facility_type,stars,designation,attraction,species,diet:kosher,barrier,is_in:city,screen,active,advertising,service_times,station,brand:zh,opening_hours:covid19,departures_board:speech_output,comment,payment:coins,payment:contactless,stroller,payment:visa_debit,wikipedia:en,dog,information,contact:email,diet:seafood,not:brand:wikidata,park_ride,seasonal,name:cs,emergency,ref:signed,name:ja,diet:keto,facebook,closed,playground:theme,brand:website,payment:cards,breakfast,image,theatre:genre,payment:discover_card,payment:jcb,craft,int_name,species:wikidata,species:wikipedia,check_date:bin,check_date:lit,check_date:shelter,beauty,rooms,man_made,is_in,ref:isil,supervised,old_name:--2022-05-24,organic,twitter,backrest,opening_hours:signed,microbrewery,max_age,opening_hours:kitchen,natural,office,lunch,diet:lactose_free,shuttle_bus,name:de,bicycle_parking,garden:type,bar,dir,grades,opening_date,instagram,name:signed,addr:county,payment:tap_to_pay,colour,material,train,parking:zone,location,post_box:type,all_you_can_eat,theme,contact:phone,ferry,monorail,subway,trolleybus,payment:credit_card,leaf_type,was:contact:google_plus,phone:mnemonic,artwork_type,contact:spotify,contact:tiktok,payment:app,payment:neo,was:website,contact:tripadvisor,was:email,payment:nfc,payment:android_pay,payment:square_wallet,payment:diners_club,payment:shop_pay,payment:unionpay,contact:pinterest,diet:pescetarian,cafe,noref,service,mobile,name:jp,diet:dairy_free,name:ru,Category,country,name:vi,short_name:en,language:en,language:vi,live_music,phone:signed,source:phone,strapline,language:am,brand:short,contact:fax,fast_food,source:opening_hours,note:direction,old_name:--2017,old_name:2018--2023,loc_name,disused:highway,disused:public_transport,diet:mediterranean,hgv,highchair,access:conditional,category,toilets:position,lgbtq,not:operator:wikidata,athletics,leaf_cycle,post_office,blind,water,capacity:parent,capacity:women,notes,cocktails,entrance,opening_hours:office,viewpoint,ele:wgs84,horse,nudism,end_date,was:amenity,alt_name:en,alt_name:vi,alberta_school_number,source:addr,construction,alt_name_1,sport_1,takeaway:covid19,not:network:wikidata,temporary,payment:insurance,opening_hours:url,payment:cheque,diet:egg_free,diet:healthy,indoor,tiktok,opening_hours:pharmacy,source:date,landuse,platforms,railway:ref,survey:date,name:ja-Hira,was:highway,shop_1,amenity_1,elevator,check_date:wheelchair,alt_name_2,wikimedia_commons,drink:coffee,payment:invoice,not:brand,diet:non-vegetarian,year,after_school,nursery,preschool,diet:local,ownership,payment:cryptocurrencies,alt_name:ko,fixme:type,outdoor,oneway,abandoned,diet:celiac,fountain,healthcare:counselling,place,opening_hours:reception,swimming_pool,addr:floor,memorial,old_ref,phone:tollfree,height,baby_feeding,contact:pobox,polling_station,lanes,board_type,length,tourism_1,drive_in,bicycle,foot,opening_hours:drive_through,traffic_calming,addr:place,gns:adm1,gns:cc1,gns:dms_lat,gns:dms_long,gns:dsg,gns:fc,gns:jog,gns:lat,gns:long,gns:mgrs,gns:n:xx:full_name,gns:n:xx:full_name_nd,gns:n:xx:modify_date,gns:n:xx:nt,gns:n:xx:sort_name,gns:rc,gns:ufi,gns:uni,diet:lowcarb,heritage,tower:type,source:position,name_1,geological,internet_access_1,bulk_purchase,playground,sauna,distance_marker,lifeguard,resort,smoothness,turning_circle,cycling,source:location,operator:en,operator:fr,name:th,site,aerialway:access,motor_vehicle,internet_access:password,diet:dairy,diet:non-halal,toilets:menstrual_products,name:it,drink:smoothie,drink:tea,name:es,printer,karaoke,large_vehicles,mobile_reception,mapillary,internet_access:type,caravans,drinking_water,picnic_table,name:ca,phone:mobile,attribution,winter_service,owner,informal,iata,noname,currency:XBT,payment:lightning,intermittent,salt,tidal,boundary,protect_class,protection_title,maxstay,NHD:Elevation,NHD:FDate,NHD:FTYPE,NHD:RESOLUTION,area,fishing,golf,overflow,diocese,name:uk,old_name:1983-1995,old_name:1995-2000,old_name:2000-2010,name:bla,building:levels:underground,charge,leisure_1,boat,disused:shop,roof:levels,roof:shape,basin,waste_disposal,building:shape,charge:conditional,geobase:acquisitionTechnique,addr:full,type,school,mascot,old_name:-2022-11-02,addr:block,passenger_information_display:speech_output,golf:course,golf:par,fee:conditional,elevation,old_name:-2008-05-10,species:en,building:floor,landcover,courts,currency:CDN,isced:level,hoops,spaces:disabled,private,name:pl,name:hu,ref:dove,cash_withdrawal:operator,cash_withdrawal:type,residential,old_name:2015-2021,building:colour,fence_type,orientation,building:part,park,website_1,alt_name:ur,name:ur,small_dog,zone,parking:direction,payment:samsung_pay,old_name:-2018,old_name:1911--1925,old_name:1925--2005,old_name:2005--2015,old_name:--2007,old_name:2007--2022,old_name:1969--2017,operational_status,parking_1,permanent,tunnel,room,floor:material,maxstay:conditional,name:srs,architect,width,recycling_type,bridge,kindergarten,old_name:1983-09--2002-03,old_name:2002-03--2016-11,old_name:2016-11--2022-05-18,old_name:1952--2006-09,canoe,motorboat,ship,parking:restriction:conditional,parking:restriction,taxi,panoramax,disabled,restriction:conditional,restriction:school_bus,parking:markings,year_of_construction,restriction,long_name,demolished:building,ref:fid,branch:en,coffee_shop,parking:orientation,shrubbery:density,proposed:amenity,proposed:building,garden:style,waste,source:geometry,capacity:female,old_name_2,old_name_3,resource,wetland,multi-storey,building:material,source:website,addr:province:en,open_date,name:etymology,name:etymology:wikipedia,reservoir_type,roof:colour,roof:height,source_ref,source:tracer,source:zoomlevel,aeroway,boundary_type,flood_prone,complete,currency:CAD,building:height,construction_date,min_height,bmx:type,ref:walmart,building:min_level,health_facility:type,museum_type,payment:sms,basilica,roof:material,alt,building:material:concrete,fire_station:type,denomination:wikidata,zoo,cinema:3D,name:tl,shop_2,shelter_type,CODE,name:grc,name:hi,name:mn,name:pt,name:zh-Latn-pinyin,old_name_1,capacity_1,beds,social_facility:for,shower,lst,wall:material,hour_on,ramp,fenced,disused:railway,operator:abbr,construction:railway,not:name,capacity:persons,construction:cuisine,addr:hamlet,playground_1,playground_2,playground_3,education,payment:paypal,water_source,duty_free,walk_in,bollard:type,archaeological_site,NHD:ComID,NHD:FCode,NHD:Permanent_,NHD:ReachCode,trees,coffee,orphanage,motorcar,route,steam_room,caravan,trailer,amenity_2,internet_access:description,wall,openfire,managed,bush,boundary:type,source:url,usage,industrial,grass,damage:evaluation_date:imagery,damage:evaluation_step:imagery,damage:event,source:damage:imagery,building:use:parking,nickname,abandoned:natural,irrigation,disused:man_made,vehicle,abandoned:man_made,gnis:feature_id,abandoned:waterway,post_office:brand,post_office:website,fitness_centre,latitude,longitude,disused:water,content,toilets:hands_drying,toilets:handwashing,toilets:handwashing:hand_disinfection,toilets:handwashing:soap,toilets:hot_water,depth,pool,parking_space,piste:type,check_date:fee,fitness_station,building:name,haunted,aerialway:station,payment:kananaskis_conservation_pass,payment:notes,alt_name:fr,payment:coinos,payment:lightning_contactless,payment:onchain,snowmobile,aerialway:summer:access,bath:open_air,bath:sand_bath,bath:type,demolished,building:start_date,building:use,tourist_bus,motorhome,crater:age,crater:diameter,was:operator,camping,maxlength,car,destroyed:building,pets_allowed,parking:condition,iucn_level,animal,previously,substance,overgrown,manufacturer,magic_wand,locomotive:type,riverbank,cash_withdrawal:foreign_cards,protected,protected_area,old_name:1936--2021-05-31,seamark:restricted_area:category,seamark:type,contact:city,contact:housenumber,contact:street,water_1,landuse_1,name:ar,name:be,alt_name:es,name:sk,AREA,CADASTRAL,CENTROID_X,CENTROID_Y,OBJECTID,Shape_Area,Shape_Leng,TAX_ROLL_N,paved,owner:wikidata,police,recreation_ground,crop,name:az,name:bg,name:br,name:cv,name:cy,name:da,name:eo,name:et,name:eu,name:fi,name:fy,name:hy,name:ka,name:kk,name:ky,name:lt,name:lv,name:nl,name:no,name:ro,name:sr,name:sv,name:tg,name:tr,name:uz,source:name:br,heritage:operator,ref:whc,whc:criteria,whc:inscription_date,name:cr,name:crk,name:xsl,name:azb
gns_ca,attraction,,,,Bitumount,Q4919172,en:Bitumount,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Experimental import of Canadian places and POIs from GNS Dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,locality,,,,,,,,,,,,,,,,,,,,,01,CA,572300,-1113800,PPL,P,NO12-08,57.383333,-111.633333,12VVJ6192360235,Bitumount,Bitumount,1993-12-14,N,BITUMOUNT,1,-561270,-793857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.3821332,-111.6321026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,,,Heritage Park,Q3891105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9849762,-114.1072429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,,,Oldman River Dam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5643811,-113.9054868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,,,Bellevue Underground Mine Tour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+1-403-564-4700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5778011,-114.3655261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,monument,,Head Smashed In Buffalo Jump,Q683110,en:Head-Smashed-In Buffalo Jump,,,,,,,,,,http://www.head-smashed-in.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7053597,-113.6531532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5649267,-113.9031522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.8a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.5626108,-113.8965261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1473836,-115.5795675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,yes,,Cave & Basin National Historic Site,Q2943271,en:Cave and Basin National Historic Site,,,,,,,,,,https://parks.canada.ca/lhn-nhs/ab/caveandbasin,,,,,,Parks Canada,,,,,,,,May 15-Oct 15 Mo-Su 09:00-17:00; Oct 16-May 14 We-Su 10:00-16:00,,,,,,,,,,,,,,,,,Cave & Basin National Historic Site,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lieu historique national Cave and Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parks Canada,Parcs Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1692307,-115.590891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,attraction,,,,Canada Place Banff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potlatch 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.171522,-115.5713091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
